long;lat;nombre;domicilio;observ;nro_est;horario;dire_norm;;;;;;;
-58,40661339;-34,64002924;Parque Patricios;Iguazú y Uspallata;Nueva estación! - Mayo 2015;21;Estación automática: disponibilidad las 24 horas;IGUAZU y USPALLATA;;;;;;;
-58,39737836;-34,59039361;Peña;Azcuénaga y Peña;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);30;Estación automática: disponibilidad las 24 horas;AZCUENAGA y PEÑA;;;;;;;
-58,37353143;-34,6077278;Catedral;San Martín y Rivadavia;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);32;Estación automática: disponibilidad las 24 horas;SAN MARTIN y RIVADAVIA AV.;;;;;;;
-58,37185787;-34,59632739;Ingeniero Butty;Ing. Butty y Leandro N. Alem;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);35;Estación automática: disponibilidad las 24 horas;BUTTY, E., ING. y ALEM, LEANDRO N. AV.;;;;;;;
-58,37659603;-34,60536887;Maipú;Maipú y Sarmiento;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);36;Estación automática: disponibilidad las 24 horas;MAIPU y SARMIENTO;;;;;;;
-58,37786401;-34,60791436;Piedras;Esmeralda y Rivadavia;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);37;Estación automática: disponibilidad las 24 horas;ESMERALDA y RIVADAVIA AV.;;;;;;;
-58,38289538;-34,59699018;Plaza Libertad;Cerrito y Marcelo T. de Alvear;Nueva estación! - Abril de 2015 (se incorpora con el sistema automático);38;Estación automática: disponibilidad las 24 horas;CERRITO y ALVEAR, MARCELO T. DE;;;;;;;
-58,40759198;-34,63651941;Urquiza;Gral Urquiza y Rondeau;Nueva estación! - Julio 2015;41;Estación automática: disponibilidad las 24 horas;URQUIZA, GRAL. y RONDEAU;;;;;;;
-58,39871709;-34,59712661;Facultad de Medicina;Uriburu y Marcelo T. de Alvear;Nueva estación! - Junio 2015;33;Estación automática: disponibilidad las 24 horas;URIBURU JOSE E. y ALVEAR MARCELO T DE;;;;;;;
-58,37415729;-34,59957943;Galerías Pacífico;San Martín 710, entre Viamonte y Córdoba;Nueva estación! - Junio 2015;34;Estación automática: disponibilidad las 24 horas;710 SAN MARTIN;;;;;;;
-58,3733711;-34,60439806;Sarmiento;Sarmiento 481, entre Reconquista y San Martín;Nueva estación! - Junio 2015;40;Estación automática: disponibilidad las 24 horas;481 SARMIENTO;;;;;;;
-58,41459488;-34,57548532;Zoológico;Av Del Libertador y Av Sarmiento;Nueva estación! - Junio 2015;44;Estación automática: disponibilidad las 24 horas;AV DEL LIBERTADOR y AV SARMIENTO;;;;;;;
-58,38244877;-34,60158617;Tucumán;Tucumán y Cerrito;jul-15;51;Estación automática: disponibilidad las 24 horas;TUCUMAN y CERRITO;;;;;;;
-58,37438882;-34,61637848;Chile;Perú 726;Nueva estación! - Julio 2015;46;Estación automática: disponibilidad las 24 horas;726 PERU;;;;;;;
-58,37690072;-34,59851552;Córdoba;Maipú 820;Nueva estación! - Julio 2015;62;Estación automática: disponibilidad las 24 horas;820 MAIPU;;;;;;;
-58,3742823;-34,59588144;Ricardo Rojas;San Martín 1031;Nueva estación! - Julio 2015;53;Estación automática: disponibilidad las 24 horas;1031 SAN MARTIN;;;;;;;
-58,37965184;-34,60464174;Diagonal Norte;Roque Sáenz Peña y Suipacha;Nueva estación! - Agosto 2015;42;Estación automática: disponibilidad las 24 horas;SAENZ PEÑA ROQUE AV y SUIPACHA;;;;;;;
-58,37115547;-34,6016385;25 de Mayo;25 de Mayo y Lavalle;Nueva estación! - Agosto 2015;60;Estación automática: disponibilidad las 24 horas;25 DE MAYO y LAVALLE;;;;;;;
