long;lat;nombre;domicilio;nro_est;dire_norm;capacidad;cluster;lat_centroide;long_centroide
-58,4248666;-34,62345741;Jose Marmol;Jose Marmol 803 y Estados Unidos;178;803 MARMOL JOSE;10;3;-34,62800848;-58,42406389
-58,36039931;-34,63911407;La Boca;Don Pedro de Mendoza 1819;179;DON PEDRO DE MENDOZA AV 1819;12;7;-34,63452619;-58,36182076
-58,42047096;-34,61980265;Castro y Mexico;Castro 680 entre Mexico y Agrelo;180;680 CASTRO;12;3;-34,62800848;-58,42406389
-58,41191367;-34,59269661;Billinghurst y Mansilla;Billinghurst 1533 y Mansilla;181;1853 BILLINGHURST;12;16;-34,59505198;-58,40788385
-58,43523361;-34,57819095;Ravignani y Guatemala;Ravignani 2171 y Guatemala;182;2171 RAVIGNANI;12;21;-34,58015377;-58,43447518
-58,38969191;-34,61563763;Virrey Cevallos;Mexico 1652 entre Virrey Cevallos y Solis;183;1652 MEXICO;12;13;-34,61087343;-58,39112781
-58,39131863;-34,63067891;Pedro Echague;Pedro Echague 1878 entre Combate de los Pozos y Av Entre Rios;184;1878 ECHAGUE PEDRO;12;19;-34,63077868;-58,39062087
-58,42178258;-34,63136997;Av Pavon y 33 Orientales;33 Orientales 1439, entre Av. Pavon y Av. Garay;185;1439 TREINTA Y TRES ORIENTALES;12;3;-34,62800848;-58,42406389
-58,40714253;-34,61255129;Catamarca;Adolfo Alsina 2910 y Catamarca;186;2910 ALSINA ADOLFO;12;6;-34,61401247;-58,40832707
-58,43179118;-34,61766675;Parque Rivadavia;Chaco 250;187;250 CHACO;12;10;-34,61326296;-58,42999121
-58,43350602;-34,61079628;Aranguren;Aranguren 188 entre Portugal y Eduardo Acevedo;188;188 ARANGUREN JUAN F DR;12;10;-34,61326296;-58,42999121
-58,38558602;-34,58847469;Posadas;Posadas 1350 entre Montevideo y Rodriguez Pena;189;1350 POSADAS;12;1;-34,58845369;-58,39319024
-58,41122742;-34,58507776;Juncal;Juncal 3320 y Jeronimo Salguero;190;3320 JUNCAL;12;23;-34,58245986;-58,40662574
-58,38091227;-34,60823179;Rivadavia y 9 de Julio;Rivadavia y Carlos pellegrini;191;RIVADAVIA AV y PELLEGRINI CARLOS;10;12;-34,60280939;-58,38223635
-58,3856151;-34,5977988;Talcahuano;Talcahuano 1034 y Marcelo T de Alvear;192;1034 TALCAHUANO;12;12;-34,60280939;-58,38223635
-58,40597385;-34,59111088;Arenales y Aguero;Arenales 2882 y Aguero;193;2882 ARENALES;12;16;-34,59505198;-58,40788385
-58,42257204;-34,60595248;Peron y Francisco Acuna de Figueroa;Peron, Juan Domingo Tte 3989 entre Francisco Acuna de Figueroa y Medrano;194;3989 PERON JUAN DOMINGO TTE;10;4;-34,60324799;-58,41692913
-58,38745383;-34,62704914;Plaza Garay;Av Juan de Garay y Luis Sienz Pena;195;GARAY JUAN DE AV y SAENZ PENA LUIS PRES;12;19;-34,63077868;-58,39062087
-58,36601905;-34,62777634;Hospital Argerich;Pi y Margall 750 entre Necochea y Alte. Brown;196;750 PI Y MARGALL;12;15;-34,62707235;-58,37307255
-58,42348086;-34,61359626;Quintino Bocayuva;Quintino Bocayuva y Don Bosco;197;BOCAYUVA QUINTINO y DON BOSCO;12;10;-34,61326296;-58,42999121
-58,40413806;-34,63438001;Hospital Sardi;Citulo Castillo 2896 y Dean Funes;198;2896 CASTILLO CATULO;10;9;-34,63585199;-58,40822621
-58,41588155;-34,62243894;Estados Unidos y Boedo;Estados Unidos 3568 entre Boedo y Maza;199;3568 ESTADOS UNIDOS;12;3;-34,62800848;-58,42406389
-58,40436108;-34,58819146;Austria y French;Austria 2080 entre French y Juncal;200;2080  AUSTRIA;12;23;-34,58245986;-58,40662574
