long;lat;nombre;domicilio;nro_est;dire_norm;capacidad;cluster;lat_centroide;long_centroide
-58,40759198;-34,63651941;Urquiza;Gral Urquiza y Rondeau;41;URQUIZA, GRAL. y RONDEAU;12;9;-34,63585199;-58,40822621
-58,37965184;-34,60464174;Diagonal Norte;Roque Sienz Pena y Suipacha;42;SAENZ PENA ROQUE AV y SUIPACHA;24;12;-34,60280939;-58,38223635
-58,39852145;-34,59918985;Plaza Houssay;Plaza Houssay;43;CORDOBA AV. y URIBURU JOSE E., PRES.;8;22;-34,59897542;-58,39544593
-58,41459488;-34,57548532;Zoologico;Av Del Libertador y Av Sarmiento;44;AV DEL LIBERTADOR y AV SARMIENTO;12;11;-34,57416223;-58,41699018
-58,38691266;-34,60161603;Uruguay;Tucumin y Uruguay;45;TUCUMAN y URUGUAY;12;12;-34,60280939;-58,38223635
-58,37438882;-34,61637848;Chile;Peru 726;46;726 PERU;18;2;-34,6137215;-58,37767926
-58,37355746;-34,61078242;Colegio Nacional Buenos Aires;Bolivar entre Adolfo Alsina y Moreno;47;251 BOLIVAR;10;2;-34,6137215;-58,37767926
-58,37159486;-34,60549118;Peron;Peron Juan entre 25 de Mayo y Reconquista;48;PERON JUAN D y RECONQUISTA;15;5;-34,60320526;-58,37034242
-58,4224224;-34,62881737;Treinta y Tres Orientales;Constitucion 4101 y Treinta y Tres Orientales;49;4101  CONSTITUCION;12;3;-34,62800848;-58,42406389
-58,40114778;-34,58367733;Hospital Rivadavia;Lucena Pereyra 2516 entre Las Heras y Pagano;50;2516 PEREYRA LUCENA;19;23;-34,58245986;-58,40662574
-58,38244877;-34,60158617;Tucumin;Tucumin y Cerrito;51;TUCUMAN y CERRITO;12;12;-34,60280939;-58,38223635
-58,41466775;-34,60708901;Sinchez de Bustamante;Sinchez de Bustamante y Peron Juan;52;SANCHEZ DE BUSTAMANTE y PERON JUAN D;12;4;-34,60324799;-58,41692913
-58,3742823;-34,59588144;Ricardo Rojas;San Martin 1031;53;1031 SAN MARTIN;12;18;-34,59447543;-58,37628321
